,country,code,indicator,indicator_code,year,gdp 
3923,Chad,TCD,GDP (current US$),NY.GDP.MKTP.CD,1974,652532796.1
3924,East Asia & Pacific (IDA & IBRD countries),TEA,GDP (current US$),NY.GDP.MKTP.CD,1974,219207000000.0
3925,Europe & Central Asia (IDA & IBRD countries),TEC,GDP (current US$),NY.GDP.MKTP.CD,1974,
3926,Togo,TGO,GDP (current US$),NY.GDP.MKTP.CD,1974,560437742.6
3927,Thailand,THA,GDP (current US$),NY.GDP.MKTP.CD,1974,13703000530.0
3928,Tajikistan,TJK,GDP (current US$),NY.GDP.MKTP.CD,1974,
3929,Turkmenistan,TKM,GDP (current US$),NY.GDP.MKTP.CD,1974,
3930,Latin America & the Caribbean (IDA & IBRD countries),TLA,GDP (current US$),NY.GDP.MKTP.CD,1974,352627000000.0
3931,Timor-Leste,TLS,GDP (current US$),NY.GDP.MKTP.CD,1974,
3932,Middle East & North Africa (IDA & IBRD countries),TMN,GDP (current US$),NY.GDP.MKTP.CD,1974,
3933,Tonga,TON,GDP (current US$),NY.GDP.MKTP.CD,1974,
3934,South Asia (IDA & IBRD),TSA,GDP (current US$),NY.GDP.MKTP.CD,1974,126976000000.0
3935,Sub-Saharan Africa (IDA & IBRD countries),TSS,GDP (current US$),NY.GDP.MKTP.CD,1974,123635000000.0
3936,Trinidad and Tobago,TTO,GDP (current US$),NY.GDP.MKTP.CD,1974,2042031901.0
3937,Tunisia,TUN,GDP (current US$),NY.GDP.MKTP.CD,1974,3545933562.0
3938,Turkey,TUR,GDP (current US$),NY.GDP.MKTP.CD,1974,35599913836.0
3939,Tuvalu,TUV,GDP (current US$),NY.GDP.MKTP.CD,1974,
3940,Tanzania,TZA,GDP (current US$),NY.GDP.MKTP.CD,1974,
3941,Uganda,UGA,GDP (current US$),NY.GDP.MKTP.CD,1974,2100142653.0
3942,Ukraine,UKR,GDP (current US$),NY.GDP.MKTP.CD,1974,
3943,Upper middle income,UMC,GDP (current US$),NY.GDP.MKTP.CD,1974,850917000000.0
3944,Uruguay,URY,GDP (current US$),NY.GDP.MKTP.CD,1974,4090209682.0
3945,United States,USA,GDP (current US$),NY.GDP.MKTP.CD,1974,1545240000000.0
3946,Uzbekistan,UZB,GDP (current US$),NY.GDP.MKTP.CD,1974,
3947,St. Vincent and the Grenadines,VCT,GDP (current US$),NY.GDP.MKTP.CD,1974,32924215.86
3948,"Venezuela, RB",VEN,GDP (current US$),NY.GDP.MKTP.CD,1974,26100930233.0
3949,British Virgin Islands,VGB,GDP (current US$),NY.GDP.MKTP.CD,1974,
3950,Virgin Islands (U.S.),VIR,GDP (current US$),NY.GDP.MKTP.CD,1974,
3951,Vietnam,VNM,GDP (current US$),NY.GDP.MKTP.CD,1974,
3952,Vanuatu,VUT,GDP (current US$),NY.GDP.MKTP.CD,1974,
3953,World,WLD,GDP (current US$),NY.GDP.MKTP.CD,1974,5315860000000.0
3954,Samoa,WSM,GDP (current US$),NY.GDP.MKTP.CD,1974,
3955,Kosovo,XKX,GDP (current US$),NY.GDP.MKTP.CD,1974,
3956,"Yemen, Rep.",YEM,GDP (current US$),NY.GDP.MKTP.CD,1974,
3957,South Africa,ZAF,GDP (current US$),NY.GDP.MKTP.CD,1974,36807721039.0
3958,Zambia,ZMB,GDP (current US$),NY.GDP.MKTP.CD,1974,3121833333.0
3959,Zimbabwe,ZWE,GDP (current US$),NY.GDP.MKTP.CD,1974,3982161400.0
3960,Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,1975,
3961,Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,1975,2366666616.0
3962,Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,1975,
3963,Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,1975,
3964,Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,1975,220127246.4
3965,Arab World,ARB,GDP (current US$),NY.GDP.MKTP.CD,1975,117104000000.0
3966,United Arab Emirates,ARE,GDP (current US$),NY.GDP.MKTP.CD,1975,14720672507.0
3967,Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,1975,52438647922.0
3968,Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,1975,
3969,American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,1975,
3970,Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,1975,
3971,Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,1975,97170558514.0
3972,Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,1975,40059206763.0
3973,Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,1975,
3974,Burundi,BDI,GDP (current US$),NY.GDP.MKTP.CD,1975,420986666.7
3975,Belgium,BEL,GDP (current US$),NY.GDP.MKTP.CD,1975,65678188659.0
3976,Benin,BEN,GDP (current US$),NY.GDP.MKTP.CD,1975,676870140.3
3977,Burkina Faso,BFA,GDP (current US$),NY.GDP.MKTP.CD,1975,939972703.5
3978,Bangladesh,BGD,GDP (current US$),NY.GDP.MKTP.CD,1975,19448348073.0
3979,Bulgaria,BGR,GDP (current US$),NY.GDP.MKTP.CD,1975,
3980,Bahrain,BHR,GDP (current US$),NY.GDP.MKTP.CD,1975,
3981,"Bahamas, The",BHS,GDP (current US$),NY.GDP.MKTP.CD,1975,596200000.0
3982,Bosnia and Herzegovina,BIH,GDP (current US$),NY.GDP.MKTP.CD,1975,
3983,Belarus,BLR,GDP (current US$),NY.GDP.MKTP.CD,1975,
3984,Belize,BLZ,GDP (current US$),NY.GDP.MKTP.CD,1975,118066298.3
3985,Bermuda,BMU,GDP (current US$),NY.GDP.MKTP.CD,1975,345000000.0
3986,Bolivia,BOL,GDP (current US$),NY.GDP.MKTP.CD,1975,2404697651.0
3987,Brazil,BRA,GDP (current US$),NY.GDP.MKTP.CD,1975,123709000000.0
3988,Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,1975,402178605.0
3989,Brunei Darussalam,BRN,GDP (current US$),NY.GDP.MKTP.CD,1975,1168304306.0
3990,Bhutan,BTN,GDP (current US$),NY.GDP.MKTP.CD,1975,
3991,Botswana,BWA,GDP (current US$),NY.GDP.MKTP.CD,1975,355172413.8
3992,Central African Republic,CAF,GDP (current US$),NY.GDP.MKTP.CD,1975,378660016.3
3993,Canada,CAN,GDP (current US$),NY.GDP.MKTP.CD,1975,173834000000.0
3994,Central Europe and the Baltics,CEB,GDP (current US$),NY.GDP.MKTP.CD,1975,
3995,Switzerland,CHE,GDP (current US$),NY.GDP.MKTP.CD,1975,63570059117.0
3996,Channel Islands,CHI,GDP (current US$),NY.GDP.MKTP.CD,1975,
3997,Chile,CHL,GDP (current US$),NY.GDP.MKTP.CD,1975,7622217352.0
3998,China,CHN,GDP (current US$),NY.GDP.MKTP.CD,1975,163432000000.0
3999,Cote d'Ivoire,CIV,GDP (current US$),NY.GDP.MKTP.CD,1975,3893839190.0
4000,Cameroon,CMR,GDP (current US$),NY.GDP.MKTP.CD,1975,2752771044.0
4001,"Congo, Dem. Rep.",COD,GDP (current US$),NY.GDP.MKTP.CD,1975,10237343174.0
4002,"Congo, Rep.",COG,GDP (current US$),NY.GDP.MKTP.CD,1975,767102679.0
4003,Colombia,COL,GDP (current US$),NY.GDP.MKTP.CD,1975,13098633902.0
4004,Comoros,COM,GDP (current US$),NY.GDP.MKTP.CD,1975,
4005,Cabo Verde,CPV,GDP (current US$),NY.GDP.MKTP.CD,1975,
4006,Costa Rica,CRI,GDP (current US$),NY.GDP.MKTP.CD,1975,1960863466.0
4007,Caribbean small states,CSS,GDP (current US$),NY.GDP.MKTP.CD,1975,7706760547.0
4008,Cuba,CUB,GDP (current US$),NY.GDP.MKTP.CD,1975,13027415244.0
4009,Curacao,CUW,GDP (current US$),NY.GDP.MKTP.CD,1975,
4010,Cayman Islands,CYM,GDP (current US$),NY.GDP.MKTP.CD,1975,
4011,Cyprus,CYP,GDP (current US$),NY.GDP.MKTP.CD,1975,489914760.7
4012,Czech Republic,CZE,GDP (current US$),NY.GDP.MKTP.CD,1975,
4013,Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,1975,490637000000.0
4014,Djibouti,DJI,GDP (current US$),NY.GDP.MKTP.CD,1975,
4015,Dominica,DMA,GDP (current US$),NY.GDP.MKTP.CD,1975,
4016,Denmark,DNK,GDP (current US$),NY.GDP.MKTP.CD,1975,40474406216.0
4017,Dominican Republic,DOM,GDP (current US$),NY.GDP.MKTP.CD,1975,3599200000.0
4018,Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,1975,15557934268.0
4019,East Asia & Pacific (excluding high income),EAP,GDP (current US$),NY.GDP.MKTP.CD,1975,246943000000.0
4020,Early-demographic dividend,EAR,GDP (current US$),NY.GDP.MKTP.CD,1975,635893000000.0
4021,East Asia & Pacific,EAS,GDP (current US$),NY.GDP.MKTP.CD,1975,933921000000.0
4022,Europe & Central Asia (excluding high income),ECA,GDP (current US$),NY.GDP.MKTP.CD,1975,
4023,Europe & Central Asia,ECS,GDP (current US$),NY.GDP.MKTP.CD,1975,2311810000000.0
4024,Ecuador,ECU,GDP (current US$),NY.GDP.MKTP.CD,1975,7731677257.0
4025,"Egypt, Arab Rep.",EGY,GDP (current US$),NY.GDP.MKTP.CD,1975,11632178869.0
4026,Euro area,EMU,GDP (current US$),NY.GDP.MKTP.CD,1975,1502570000000.0
4027,Eritrea,ERI,GDP (current US$),NY.GDP.MKTP.CD,1975,
4028,Spain,ESP,GDP (current US$),NY.GDP.MKTP.CD,1975,114777000000.0
4029,Estonia,EST,GDP (current US$),NY.GDP.MKTP.CD,1975,
4030,Ethiopia,ETH,GDP (current US$),NY.GDP.MKTP.CD,1975,
4031,European Union,EUU,GDP (current US$),NY.GDP.MKTP.CD,1975,1691340000000.0
4032,Fragile and conflict affected situations,FCS,GDP (current US$),NY.GDP.MKTP.CD,1975,78603023485.0
4033,Finland,FIN,GDP (current US$),NY.GDP.MKTP.CD,1975,29472623727.0
4034,Fiji,FJI,GDP (current US$),NY.GDP.MKTP.CD,1975,684268280.8
4035,France,FRA,GDP (current US$),NY.GDP.MKTP.CD,1975,360832000000.0
4036,Faroe Islands,FRO,GDP (current US$),NY.GDP.MKTP.CD,1975,
4037,"Micronesia, Fed. Sts.",FSM,GDP (current US$),NY.GDP.MKTP.CD,1975,
4038,Gabon,GAB,GDP (current US$),NY.GDP.MKTP.CD,1975,2157592937.0
4039,United Kingdom,GBR,GDP (current US$),NY.GDP.MKTP.CD,1975,241757000000.0
4040,Georgia,GEO,GDP (current US$),NY.GDP.MKTP.CD,1975,
4041,Ghana,GHA,GDP (current US$),NY.GDP.MKTP.CD,1975,2810106383.0
4042,Gibraltar,GIB,GDP (current US$),NY.GDP.MKTP.CD,1975,
4043,Guinea,GIN,GDP (current US$),NY.GDP.MKTP.CD,1975,
4044,"Gambia, The",GMB,GDP (current US$),NY.GDP.MKTP.CD,1975,115182522.1
4045,Guinea-Bissau,GNB,GDP (current US$),NY.GDP.MKTP.CD,1975,108985740.2
4046,Equatorial Guinea,GNQ,GDP (current US$),NY.GDP.MKTP.CD,1975,104295643.4
4047,Greece,GRC,GDP (current US$),NY.GDP.MKTP.CD,1975,28525872476.0
4048,Grenada,GRD,GDP (current US$),NY.GDP.MKTP.CD,1975,
4049,Greenland,GRL,GDP (current US$),NY.GDP.MKTP.CD,1975,211194305.7
4050,Guatemala,GTM,GDP (current US$),NY.GDP.MKTP.CD,1975,3645900000.0
4051,Guam,GUM,GDP (current US$),NY.GDP.MKTP.CD,1975,
4052,Guyana,GUY,GDP (current US$),NY.GDP.MKTP.CD,1975,494791666.7
4053,High income,HIC,GDP (current US$),NY.GDP.MKTP.CD,1975,4690400000000.0
4054,"Hong Kong SAR, China",HKG,GDP (current US$),NY.GDP.MKTP.CD,1975,10048022370.0
4055,Honduras,HND,GDP (current US$),NY.GDP.MKTP.CD,1975,1124000000.0
4056,Heavily indebted poor countries (HIPC),HPC,GDP (current US$),NY.GDP.MKTP.CD,1975,63265401145.0
4057,Croatia,HRV,GDP (current US$),NY.GDP.MKTP.CD,1975,
4058,Haiti,HTI,GDP (current US$),NY.GDP.MKTP.CD,1975,681400000.0
4059,Hungary,HUN,GDP (current US$),NY.GDP.MKTP.CD,1975,
4060,IBRD only,IBD,GDP (current US$),NY.GDP.MKTP.CD,1975,1174920000000.0
4061,IDA & IBRD total,IBT,GDP (current US$),NY.GDP.MKTP.CD,1975,1331110000000.0
4062,IDA total,IDA,GDP (current US$),NY.GDP.MKTP.CD,1975,157667000000.0
4063,IDA blend,IDB,GDP (current US$),NY.GDP.MKTP.CD,1975,57902827699.0
4064,Indonesia,IDN,GDP (current US$),NY.GDP.MKTP.CD,1975,30463855422.0
4065,IDA only,IDX,GDP (current US$),NY.GDP.MKTP.CD,1975,102562000000.0
4066,Isle of Man,IMN,GDP (current US$),NY.GDP.MKTP.CD,1975,
4067,India,IND,GDP (current US$),NY.GDP.MKTP.CD,1975,98472796457.0
4068,Not classified,INX,GDP (current US$),NY.GDP.MKTP.CD,1975,
4069,Ireland,IRL,GDP (current US$),NY.GDP.MKTP.CD,1975,9495165854.0
4070,"Iran, Islamic Rep.",IRN,GDP (current US$),NY.GDP.MKTP.CD,1975,51776222350.0
4071,Iraq,IRQ,GDP (current US$),NY.GDP.MKTP.CD,1975,13458516763.0
4072,Iceland,ISL,GDP (current US$),NY.GDP.MKTP.CD,1975,1408989850.0
4073,Israel,ISR,GDP (current US$),NY.GDP.MKTP.CD,1975,15360166667.0
4074,Italy,ITA,GDP (current US$),NY.GDP.MKTP.CD,1975,227696000000.0
4075,Jamaica,JAM,GDP (current US$),NY.GDP.MKTP.CD,1975,2860411286.0
4076,Jordan,JOR,GDP (current US$),NY.GDP.MKTP.CD,1975,1363039400.0
4077,Japan,JPN,GDP (current US$),NY.GDP.MKTP.CD,1975,521542000000.0
4078,Kazakhstan,KAZ,GDP (current US$),NY.GDP.MKTP.CD,1975,
4079,Kenya,KEN,GDP (current US$),NY.GDP.MKTP.CD,1975,3259344936.0
4080,Kyrgyz Republic,KGZ,GDP (current US$),NY.GDP.MKTP.CD,1975,
4081,Cambodia,KHM,GDP (current US$),NY.GDP.MKTP.CD,1975,
4082,Kiribati,KIR,GDP (current US$),NY.GDP.MKTP.CD,1975,55081816.99
4083,St. Kitts and Nevis,KNA,GDP (current US$),NY.GDP.MKTP.CD,1975,33364055.3
4084,"Korea, Rep.",KOR,GDP (current US$),NY.GDP.MKTP.CD,1975,21784297521.0
4085,Kuwait,KWT,GDP (current US$),NY.GDP.MKTP.CD,1975,12024138276.0
4086,Latin America & Caribbean (excluding high income),LAC,GDP (current US$),NY.GDP.MKTP.CD,1975,364906000000.0
4087,Lao PDR,LAO,GDP (current US$),NY.GDP.MKTP.CD,1975,
4088,Lebanon,LBN,GDP (current US$),NY.GDP.MKTP.CD,1975,
4089,Liberia,LBR,GDP (current US$),NY.GDP.MKTP.CD,1975,
4090,Libya,LBY,GDP (current US$),NY.GDP.MKTP.CD,1975,
4091,St. Lucia,LCA,GDP (current US$),NY.GDP.MKTP.CD,1975,
4092,Latin America & Caribbean,LCN,GDP (current US$),NY.GDP.MKTP.CD,1975,392087000000.0
4093,Least developed countries: UN classification,LDC,GDP (current US$),NY.GDP.MKTP.CD,1975,
4094,Low income,LIC,GDP (current US$),NY.GDP.MKTP.CD,1975,55469781775.0
4095,Liechtenstein,LIE,GDP (current US$),NY.GDP.MKTP.CD,1975,246387479.2
4096,Sri Lanka,LKA,GDP (current US$),NY.GDP.MKTP.CD,1975,3791298146.0
4097,Lower middle income,LMC,GDP (current US$),NY.GDP.MKTP.CD,1975,298860000000.0
4098,Low & middle income,LMY,GDP (current US$),NY.GDP.MKTP.CD,1975,1285040000000.0
4099,Lesotho,LSO,GDP (current US$),NY.GDP.MKTP.CD,1975,149560513.9
4100,Late-demographic dividend,LTE,GDP (current US$),NY.GDP.MKTP.CD,1975,722610000000.0
4101,Lithuania,LTU,GDP (current US$),NY.GDP.MKTP.CD,1975,
4102,Luxembourg,LUX,GDP (current US$),NY.GDP.MKTP.CD,1975,3233431611.0
4103,Latvia,LVA,GDP (current US$),NY.GDP.MKTP.CD,1975,
4104,"Macao SAR, China",MAC,GDP (current US$),NY.GDP.MKTP.CD,1975,
4105,St. Martin (French part),MAF,GDP (current US$),NY.GDP.MKTP.CD,1975,
4106,Morocco,MAR,GDP (current US$),NY.GDP.MKTP.CD,1975,8984824183.0
4107,Monaco,MCO,GDP (current US$),NY.GDP.MKTP.CD,1975,711922994.2
4108,Moldova,MDA,GDP (current US$),NY.GDP.MKTP.CD,1975,
4109,Madagascar,MDG,GDP (current US$),NY.GDP.MKTP.CD,1975,2283049233.0
4110,Maldives,MDV,GDP (current US$),NY.GDP.MKTP.CD,1975,
4111,Middle East & North Africa,MEA,GDP (current US$),NY.GDP.MKTP.CD,1975,155911000000.0
4112,Mexico,MEX,GDP (current US$),NY.GDP.MKTP.CD,1975,88000000000.0
4113,Marshall Islands,MHL,GDP (current US$),NY.GDP.MKTP.CD,1975,
4114,Middle income,MIC,GDP (current US$),NY.GDP.MKTP.CD,1975,1234560000000.0
4115,North Macedonia,MKD,GDP (current US$),NY.GDP.MKTP.CD,1975,
4116,Mali,MLI,GDP (current US$),NY.GDP.MKTP.CD,1975,830710615.2
4117,Malta,MLT,GDP (current US$),NY.GDP.MKTP.CD,1975,474620439.6
4118,Myanmar,MMR,GDP (current US$),NY.GDP.MKTP.CD,1975,
4119,Middle East & North Africa (excluding high income),MNA,GDP (current US$),NY.GDP.MKTP.CD,1975,
4120,Montenegro,MNE,GDP (current US$),NY.GDP.MKTP.CD,1975,
4121,Mongolia,MNG,GDP (current US$),NY.GDP.MKTP.CD,1975,
4122,Northern Mariana Islands,MNP,GDP (current US$),NY.GDP.MKTP.CD,1975,
4123,Mozambique,MOZ,GDP (current US$),NY.GDP.MKTP.CD,1975,
4124,Mauritania,MRT,GDP (current US$),NY.GDP.MKTP.CD,1975,703378653.4
4125,Mauritius,MUS,GDP (current US$),NY.GDP.MKTP.CD,1975,
4126,Malawi,MWI,GDP (current US$),NY.GDP.MKTP.CD,1975,613220652.9
4127,Malaysia,MYS,GDP (current US$),NY.GDP.MKTP.CD,1975,9298800799.0
4128,North America,NAC,GDP (current US$),NY.GDP.MKTP.CD,1975,1859080000000.0
4129,Namibia,NAM,GDP (current US$),NY.GDP.MKTP.CD,1975,
4130,New Caledonia,NCL,GDP (current US$),NY.GDP.MKTP.CD,1975,816647865.8
4131,Niger,NER,GDP (current US$),NY.GDP.MKTP.CD,1975,1048690933.0
4132,Nigeria,NGA,GDP (current US$),NY.GDP.MKTP.CD,1975,27778934625.0
4133,Nicaragua,NIC,GDP (current US$),NY.GDP.MKTP.CD,1975,1590428523.0
4134,Netherlands,NLD,GDP (current US$),NY.GDP.MKTP.CD,1975,100250000000.0
4135,Norway,NOR,GDP (current US$),NY.GDP.MKTP.CD,1975,32877805200.0
4136,Nepal,NPL,GDP (current US$),NY.GDP.MKTP.CD,1975,1575789254.0
4137,Nauru,NRU,GDP (current US$),NY.GDP.MKTP.CD,1975,
4138,New Zealand,NZL,GDP (current US$),NY.GDP.MKTP.CD,1975,12861983284.0
4139,OECD members,OED,GDP (current US$),NY.GDP.MKTP.CD,1975,4679590000000.0
4140,Oman,OMN,GDP (current US$),NY.GDP.MKTP.CD,1975,2096699189.0
4141,Other small states,OSS,GDP (current US$),NY.GDP.MKTP.CD,1975,13507743217.0
4142,Pakistan,PAK,GDP (current US$),NY.GDP.MKTP.CD,1975,11230606061.0
4143,Panama,PAN,GDP (current US$),NY.GDP.MKTP.CD,1975,2435304100.0
4144,Peru,PER,GDP (current US$),NY.GDP.MKTP.CD,1975,16877163792.0
4145,Philippines,PHL,GDP (current US$),NY.GDP.MKTP.CD,1975,14893969288.0
4146,Palau,PLW,GDP (current US$),NY.GDP.MKTP.CD,1975,
4147,Papua New Guinea,PNG,GDP (current US$),NY.GDP.MKTP.CD,1975,1356591177.0
4148,Poland,POL,GDP (current US$),NY.GDP.MKTP.CD,1975,
4149,Pre-demographic dividend,PRE,GDP (current US$),NY.GDP.MKTP.CD,1975,53088667470.0
4150,Puerto Rico,PRI,GDP (current US$),NY.GDP.MKTP.CD,1975,8198300000.0
4151,"Korea, Dem. People’s Rep.",PRK,GDP (current US$),NY.GDP.MKTP.CD,1975,
4152,Portugal,PRT,GDP (current US$),NY.GDP.MKTP.CD,1975,19347608627.0
4153,Paraguay,PRY,GDP (current US$),NY.GDP.MKTP.CD,1975,1511420635.0
4154,West Bank and Gaza,PSE,GDP (current US$),NY.GDP.MKTP.CD,1975,
4155,Pacific island small states,PSS,GDP (current US$),NY.GDP.MKTP.CD,1975,1136274672.0
4156,Post-demographic dividend,PST,GDP (current US$),NY.GDP.MKTP.CD,1975,4549800000000.0
4157,French Polynesia,PYF,GDP (current US$),NY.GDP.MKTP.CD,1975,690319754.9
4158,Qatar,QAT,GDP (current US$),NY.GDP.MKTP.CD,1975,2512784033.0
4159,Romania,ROU,GDP (current US$),NY.GDP.MKTP.CD,1975,
4160,Russian Federation,RUS,GDP (current US$),NY.GDP.MKTP.CD,1975,
4161,Rwanda,RWA,GDP (current US$),NY.GDP.MKTP.CD,1975,571863295.7
4162,South Asia,SAS,GDP (current US$),NY.GDP.MKTP.CD,1975,135912000000.0
4163,Saudi Arabia,SAU,GDP (current US$),NY.GDP.MKTP.CD,1975,46773368206.0
4164,Sudan,SDN,GDP (current US$),NY.GDP.MKTP.CD,1975,5598000000.0
4165,Senegal,SEN,GDP (current US$),NY.GDP.MKTP.CD,1975,2830388405.0
4166,Singapore,SGP,GDP (current US$),NY.GDP.MKTP.CD,1975,5633673930.0
4167,Solomon Islands,SLB,GDP (current US$),NY.GDP.MKTP.CD,1975,74617096.48
4168,Sierra Leone,SLE,GDP (current US$),NY.GDP.MKTP.CD,1975,679335901.1
4169,El Salvador,SLV,GDP (current US$),NY.GDP.MKTP.CD,1975,1884120100.0
4170,San Marino,SMR,GDP (current US$),NY.GDP.MKTP.CD,1975,
4171,Somalia,SOM,GDP (current US$),NY.GDP.MKTP.CD,1975,710850226.5
4172,Serbia,SRB,GDP (current US$),NY.GDP.MKTP.CD,1975,
4173,Sub-Saharan Africa (excluding high income),SSA,GDP (current US$),NY.GDP.MKTP.CD,1975,135593000000.0
4174,South Sudan,SSD,GDP (current US$),NY.GDP.MKTP.CD,1975,
4175,Sub-Saharan Africa,SSF,GDP (current US$),NY.GDP.MKTP.CD,1975,136272000000.0
4176,Small states,SST,GDP (current US$),NY.GDP.MKTP.CD,1975,23071702068.0
4177,Sao Tome and Principe,STP,GDP (current US$),NY.GDP.MKTP.CD,1975,
4178,Suriname,SUR,GDP (current US$),NY.GDP.MKTP.CD,1975,465500000.0
4179,Slovak Republic,SVK,GDP (current US$),NY.GDP.MKTP.CD,1975,
4180,Slovenia,SVN,GDP (current US$),NY.GDP.MKTP.CD,1975,
4181,Sweden,SWE,GDP (current US$),NY.GDP.MKTP.CD,1975,82885397596.0
4182,Eswatini,SWZ,GDP (current US$),NY.GDP.MKTP.CD,1975,288302907.4
4183,Sint Maarten (Dutch part),SXM,GDP (current US$),NY.GDP.MKTP.CD,1975,
4184,Seychelles,SYC,GDP (current US$),NY.GDP.MKTP.CD,1975,47803145.96
4185,Syrian Arab Republic,SYR,GDP (current US$),NY.GDP.MKTP.CD,1975,6826980767.0
4186,Turks and Caicos Islands,TCA,GDP (current US$),NY.GDP.MKTP.CD,1975,
4187,Chad,TCD,GDP (current US$),NY.GDP.MKTP.CD,1975,864602103.3
4188,East Asia & Pacific (IDA & IBRD countries),TEA,GDP (current US$),NY.GDP.MKTP.CD,1975,246435000000.0
4189,Europe & Central Asia (IDA & IBRD countries),TEC,GDP (current US$),NY.GDP.MKTP.CD,1975,
4190,Togo,TGO,GDP (current US$),NY.GDP.MKTP.CD,1975,617321669.4
4191,Thailand,THA,GDP (current US$),NY.GDP.MKTP.CD,1975,14882747955.0
4192,Tajikistan,TJK,GDP (current US$),NY.GDP.MKTP.CD,1975,
4193,Turkmenistan,TKM,GDP (current US$),NY.GDP.MKTP.CD,1975,
4194,Latin America & the Caribbean (IDA & IBRD countries),TLA,GDP (current US$),NY.GDP.MKTP.CD,1975,368010000000.0
4195,Timor-Leste,TLS,GDP (current US$),NY.GDP.MKTP.CD,1975,
4196,Middle East & North Africa (IDA & IBRD countries),TMN,GDP (current US$),NY.GDP.MKTP.CD,1975,
4197,Tonga,TON,GDP (current US$),NY.GDP.MKTP.CD,1975,32506741.72
4198,South Asia (IDA & IBRD),TSA,GDP (current US$),NY.GDP.MKTP.CD,1975,135912000000.0
4199,Sub-Saharan Africa (IDA & IBRD countries),TSS,GDP (current US$),NY.GDP.MKTP.CD,1975,136272000000.0
4200,Trinidad and Tobago,TTO,GDP (current US$),NY.GDP.MKTP.CD,1975,2442667573.0
4201,Tunisia,TUN,GDP (current US$),NY.GDP.MKTP.CD,1975,4328610490.0
4202,Turkey,TUR,GDP (current US$),NY.GDP.MKTP.CD,1975,44633707243.0
4203,Tuvalu,TUV,GDP (current US$),NY.GDP.MKTP.CD,1975,
4204,Tanzania,TZA,GDP (current US$),NY.GDP.MKTP.CD,1975,
4205,Uganda,UGA,GDP (current US$),NY.GDP.MKTP.CD,1975,2359555556.0
4206,Ukraine,UKR,GDP (current US$),NY.GDP.MKTP.CD,1975,
4207,Upper middle income,UMC,GDP (current US$),NY.GDP.MKTP.CD,1975,939179000000.0
4208,Uruguay,URY,GDP (current US$),NY.GDP.MKTP.CD,1975,3538283322.0
4209,United States,USA,GDP (current US$),NY.GDP.MKTP.CD,1975,1684900000000.0
4210,Uzbekistan,UZB,GDP (current US$),NY.GDP.MKTP.CD,1975,
4211,St. Vincent and the Grenadines,VCT,GDP (current US$),NY.GDP.MKTP.CD,1975,33237164.72
4212,"Venezuela, RB",VEN,GDP (current US$),NY.GDP.MKTP.CD,1975,27464651163.0
4213,British Virgin Islands,VGB,GDP (current US$),NY.GDP.MKTP.CD,1975,
4214,Virgin Islands (U.S.),VIR,GDP (current US$),NY.GDP.MKTP.CD,1975,
4215,Vietnam,VNM,GDP (current US$),NY.GDP.MKTP.CD,1975,
4216,Vanuatu,VUT,GDP (current US$),NY.GDP.MKTP.CD,1975,
4217,World,WLD,GDP (current US$),NY.GDP.MKTP.CD,1975,5920220000000.0
4218,Samoa,WSM,GDP (current US$),NY.GDP.MKTP.CD,1975,
4219,Kosovo,XKX,GDP (current US$),NY.GDP.MKTP.CD,1975,
4220,"Yemen, Rep.",YEM,GDP (current US$),NY.GDP.MKTP.CD,1975,
4221,South Africa,ZAF,GDP (current US$),NY.GDP.MKTP.CD,1975,38114542813.0
4222,Zambia,ZMB,GDP (current US$),NY.GDP.MKTP.CD,1975,2618666667.0
4223,Zimbabwe,ZWE,GDP (current US$),NY.GDP.MKTP.CD,1975,4371300700.0
4224,Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,1976,
4225,Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,1976,2555555567.0
4226,Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,1976,
4227,Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,1976,
4228,Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,1976,227281024.6
4229,Arab World,ARB,GDP (current US$),NY.GDP.MKTP.CD,1976,145485000000.0
4230,United Arab Emirates,ARE,GDP (current US$),NY.GDP.MKTP.CD,1976,19213022691.0
4231,Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,1976,51169499891.0
4232,Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,1976,
